Region,Date,Frequency,Estimated Unemployment Rate (%),Estimated Employed,Estimated Labour Participation Rate (%),Area
Andhra Pradesh,31-01-2019,Monthly,6.85,23509085,47.87,Rural
Andhra Pradesh,28-02-2019,Monthly,7.14,23470856,45.35,Rural
Andhra Pradesh,31-03-2019,Monthly,6.69,23436655,43.91,Rural
Andhra Pradesh,30-04-2019,Monthly,6.39,23532529,45.09,Rural
Andhra Pradesh,31-05-2019,Monthly,8.91,23361095,46.06,Rural
Andhra Pradesh,30-06-2019,Monthly,5.05,23656580,45.36,Rural
Andhra Pradesh,31-07-2019,Monthly,5.4,23610670,45.26,Rural
Andhra Pradesh,31-08-2019,Monthly,8.98,23340658,45.97,Rural
Andhra Pradesh,30-09-2019,Monthly,9.09,23298374,46.23,Rural
Andhra Pradesh,31-10-2019,Monthly,4.15,23726240,47.04,Rural
Andhra Pradesh,30-11-2019,Monthly,7.71,23443780,44.21,Rural
Andhra Pradesh,31-12-2019,Monthly,6.61,23470748,44.92,Rural
Andhra Pradesh,31-01-2020,Monthly,7.57,23449667,45.17,Rural
Andhra Pradesh,29-02-2020,Monthly,6.88,23547737,47.05,Rural
Andhra Pradesh,31-03-2020,Monthly,17.45,22741677,46.38,Rural
Andhra Pradesh,30-04-2020,Monthly,21.02,22491058,45.49,Rural
Andhra Pradesh,31-05-2020,Monthly,16.54,22890509,45.89,Rural
Andhra Pradesh,30-06-2020,Monthly,15.1,22975087,46.93,Rural
Andhra Pradesh,31-07-2020,Monthly,9.61,23400186,42.84,Rural
Andhra Pradesh,31-08-2020,Monthly,9.02,23293522,47.23,Rural
Andhra Pradesh,30-09-2020,Monthly,9.15,23372949,47.75,Rural
Andhra Pradesh,31-10-2020,Monthly,7.72,23447507,45.47,Rural
Andhra Pradesh,30-11-2020,Monthly,9.63,23336950,45.34,Rural
Andhra Pradesh,31-01-2019,Monthly,13.23,10614863,46.72,Urban
Andhra Pradesh,28-02-2019,Monthly,12.14,10671633,43.93,Urban
Andhra Pradesh,31-03-2019,Monthly,10.73,10716006,46.15,Urban
Andhra Pradesh,30-04-2019,Monthly,12.94,10558498,45.98,Urban
Andhra Pradesh,31-05-2019,Monthly,14.82,10501127,47.08,Urban
Andhra Pradesh,30-06-2019,Monthly,10.57,10716835,46.32,Urban
Andhra Pradesh,31-07-2019,Monthly,10.41,10734170,47.47,Urban
Andhra Pradesh,31-08-2019,Monthly,10.46,10741756,48.03,Urban
Andhra Pradesh,30-09-2019,Monthly,10.29,10787332,46.02,Urban
Andhra Pradesh,31-10-2019,Monthly,12.81,10733556,46.05,Urban
Andhra Pradesh,30-11-2019,Monthly,12.38,10628719,46.43,Urban
Andhra Pradesh,31-12-2019,Monthly,12.17,10728912,47.12,Urban
Andhra Pradesh,31-01-2020,Monthly,9.68,10714960,47.68,Urban
Andhra Pradesh,29-02-2020,Monthly,12.71,10659219,46.65,Urban
Andhra Pradesh,31-03-2020,Monthly,20.24,10457416,45.63,Urban
Andhra Pradesh,30-04-2020,Monthly,42.94,9788460,46.72,Urban
Andhra Pradesh,31-05-2020,Monthly,,10047125,48.05,Urban
Andhra Pradesh,30-06-2020,Monthly,26.53,10164112,47.85,Urban
Andhra Pradesh,31-07-2020,Monthly,14.55,10620702,46.25,Urban
Andhra Pradesh,31-08-2020,Monthly,12.54,10612080,48.37,Urban
Andhra Pradesh,30-09-2020,Monthly,15.49,10526041,48.06,Urban
Andhra Pradesh,31-10-2020,Monthly,15.22,10647177,47.62,Urban
Andhra Pradesh,30-11-2020,Monthly,16.83,10517923,46.21,Urban
Assam,31-01-2019,Monthly,6.34,9733238,49.61,Rural
Assam,28-02-2019,Monthly,8.44,9559316,49.55,Rural
Assam,31-03-2019,Monthly,4.92,9758090,49.33,Rural
Assam,30-04-2019,Monthly,6.3,9686858,50.48,Rural
Assam,31-05-2019,Monthly,5.71,9634809,49.06,Rural
Assam,30-06-2019,Monthly,6.8,9713750,49.71,Rural
Assam,31-07-2019,Monthly,5.16,9734539,49.67,Rural
Assam,31-08-2019,Monthly,5.1,9772254,50.87,Rural
Assam,30-09-2019,Monthly,4.43,9701599,50.21,Rural
Assam,31-10-2019,Monthly,7.57,9656619,50.64,Rural
Assam,30-11-2019,Monthly,6.98,9729688,50.74,Rural
Assam,31-12-2019,Monthly,7.81,9590681,47.79,Rural
Assam,31-01-2020,Monthly,4.65,9746063,52.37,Rural
Assam,29-02-2020,Monthly,2.93,9772222,49.69,Rural
Assam,31-03-2020,Monthly,10.59,9620359,49.67,Rural
Assam,30-04-2020,Monthly,20.34,9304406,48.07,Rural
Assam,31-05-2020,Monthly,11.71,9500135,52.17,Rural
Assam,30-06-2020,Monthly,17.3,9367788,50.13,Rural
Assam,31-07-2020,Monthly,6.73,9722941,48.64,Rural
Assam,31-08-2020,Monthly,6.64,9644396,51.59,Rural
Assam,30-09-2020,Monthly,6.55,9652988,51.71,Rural
Assam,31-10-2020,Monthly,9.36,9621233,51.58,Rural
Assam,30-11-2020,Monthly,6.33,9667963,51.12,Rural
Assam,31-01-2019,Monthly,2.49,4727864,36.62,Urban
Assam,28-02-2019,Monthly,4.05,4636855,34.14,Urban
Assam,31-03-2019,Monthly,3.88,4767523,33.97,Urban
Assam,30-04-2019,Monthly,4.09,4659633,35.76,Urban
Assam,31-05-2019,Monthly,8.08,4577090,36.24,Urban
Assam,30-06-2019,Monthly,3.28,4697482,36.47,Urban
Assam,31-07-2019,Monthly,4.4,4757808,34.2,Urban
Assam,31-08-2019,Monthly,5.09,4672241,36.22,Urban
Assam,30-09-2019,Monthly,4.45,4691845,34.94,Urban
Assam,31-10-2019,Monthly,4.91,4648026,34.94,Urban
Assam,30-11-2019,Monthly,3.82,4731736,36.06,Urban
Assam,31-12-2019,Monthly,3.46,4735714,36.35,Urban
Assam,31-01-2020,Monthly,3.43,4691258,35.83,Urban
Assam,29-02-2020,Monthly,2.95,4757227,37.55,Urban
Assam,31-03-2020,Monthly,10.47,4657445,35.72,Urban
Assam,30-04-2020,Monthly,11.07,4626336,35.36,Urban
Assam,31-05-2020,Monthly,11.18,4586923,36.4,Urban
Assam,30-06-2020,Monthly,7.84,4607240,37.14,Urban
Assam,31-07-2020,Monthly,4.28,4711420,36.44,Urban
Assam,31-08-2020,Monthly,3.67,4688449,33.18,Urban
Assam,30-09-2020,Monthly,9.01,4571663,35.3,Urban
Assam,31-10-2020,Monthly,5.74,4727342,35.17,Urban
Assam,30-11-2020,Monthly,6.52,4624801,35.97,Urban
Bihar,31-01-2019,Monthly,3.42,24468360,40.99,Rural
Bihar,28-02-2019,Monthly,6.79,24213868,40.61,Rural
Bihar,31-03-2019,Monthly,5.12,24311534,41.24,Rural
Bihar,30-04-2019,Monthly,7.63,24094377,39.6,Rural
Bihar,31-05-2019,Monthly,5.53,24323104,40.73,Rural
Bihar,30-06-2019,Monthly,4.18,24536430,41.1,Rural
Bihar,31-07-2019,Monthly,8.18,24087481,41.66,Rural
Bihar,31-08-2019,Monthly,4.32,24406707,41.79,Rural
Bihar,30-09-2019,Monthly,3.59,24436449,38.07,Rural
Bihar,31-10-2019,Monthly,4.01,24339620,41.05,Rural
Bihar,30-11-2019,Monthly,3.77,24477659,39.03,Rural
Bihar,31-12-2019,Monthly,8.03,24133298,40.28,Rural
Bihar,31-01-2020,Monthly,2.54,24612021,40.48,Rural
Bihar,29-02-2020,Monthly,6.42,24251006,40.55,Rural
