Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
city,2009,1.7,8.15,246862,Petrol,Individual,Manual,0
i20,2006,1.3,9.16,165953,Petrol,Individual,Automatic,0
kwid,2015,1.86,6.28,144060,Petrol,Dealer,Manual,0
verna,2017,2.17,5.05,95915,Petrol,Dealer,Manual,0
xuv500,2013,1.59,6.64,114751,Petrol,Dealer,Manual,0
swift,2010,1.27,7.34,147454,Petrol,Individual,Manual,1
baleno,2015,0.45,1.23,101356,Petrol,Individual,Manual,0
i10,2007,0.55,4.06,259500,Petrol,Dealer,Automatic,0
xuv500,2009,0.47,2.68,140905,Petrol,Individual,Manual,0
swift,2012,3.6,12.79,194756,Diesel,Individual,Manual,0
creta,2005,0.63,5.37,226089,Petrol,Dealer,Manual,0
i20,2009,5.38,31.35,216562,Petrol,Dealer,Automatic,0
ertiga,2013,1.36,4.42,174942,Diesel,Dealer,Manual,0
ertiga,2013,3.2,13.31,186099,Petrol,Dealer,Manual,0
verna,2010,2.74,12.61,232242,Diesel,Dealer,Manual,0
xuv500,2007,0.31,1.83,134873,Petrol,Dealer,Manual,0
swift,2006,0.9,5.92,218589,Petrol,Dealer,Manual,0
sx4,2010,2.01,9.53,236167,Petrol,Dealer,Automatic,0
swift,2010,2.91,15.26,80759,Petrol,Dealer,Manual,1
duster,2005,0.4,3.56,115960,Petrol,Dealer,Manual,0
ciaz,2008,0.45,2.47,108895,Petrol,Individual,Manual,0
brio,2007,1.65,9.91,220561,Petrol,Dealer,Manual,0
sx4,2004,1.46,13.04,109157,Petrol,Individual,Manual,3
swift,2010,0.71,3.82,84908,Petrol,Individual,Manual,0
duster,2014,0.36,1.36,113137,Petrol,Dealer,Manual,0
xuv500,2016,7.02,21.77,42676,Petrol,Dealer,Manual,0
amaze,2008,0.78,4.4,116706,Petrol,Dealer,Manual,0
innova,2004,0.66,6.07,174763,Petrol,Dealer,Manual,0
innova,2018,7.18,14.24,92361,Petrol,Dealer,Manual,0
wagon r,2014,2.92,9.05,79639,Diesel,Dealer,Manual,0
fortuner,2007,1.43,10.57,170014,Petrol,Dealer,Manual,1
i20,2003,0.24,2.36,192733,Petrol,Dealer,Manual,0
duster,2014,1.91,6.45,118959,Petrol,Dealer,Automatic,0
ritz,2012,2.4,9.53,190736,Petrol,Individual,Manual,0
ciaz,2008,0.45,2.55,190153,Diesel,Dealer,Manual,0
swift,2015,0.74,2.04,60144,Petrol,Dealer,Manual,0
baleno,2014,10.23,30.8,90929,Petrol,Dealer,Manual,0
sx4,2011,1.25,6.05,149409,Petrol,Individual,Manual,0
wagon r,2003,0.25,2.87,179666,Petrol,Dealer,Automatic,0
i20,2013,12.41,42.5,101118,Diesel,Dealer,Manual,0
duster,2013,6.21,25.83,180888,Petrol,Individual,Manual,0
xuv500,2017,2.58,6.73,118070,Diesel,Dealer,Manual,0
ciaz,2012,3.5,16.67,103129,Petrol,Individual,Manual,0
kwid,2018,1.03,2.17,54384,Petrol,Individual,Manual,1
corolla altis,2014,0.83,3.05,158482,Diesel,Individual,Manual,0
duster,2014,3.04,9.64,148159,Petrol,Individual,Manual,0
ertiga,2018,7.56,14.66,96453,Diesel,Individual,Automatic,0
fortuner,2017,5.37,15.15,50737,Petrol,Individual,Manual,0
corolla altis,2016,1.44,4.49,155537,Petrol,Individual,Manual,0
ertiga,2016,5.95,17.0,92749,Petrol,Individual,Manual,0
xuv500,2017,6.71,14.87,121953,Petrol,Dealer,Manual,0
ertiga,2016,7.12,21.17,117592,Petrol,Dealer,Manual,0
i20,2005,1.42,12.14,101339,Diesel,Dealer,Manual,0
duster,2014,2.33,8.89,104940,Diesel,Dealer,Manual,0
sx4,2009,1.4,7.12,229223,Diesel,Dealer,Manual,0
wagon r,2006,0.54,4.09,220370,Petrol,Dealer,Manual,0
swift,2018,10.52,21.72,71562,Petrol,Dealer,Manual,0
baleno,2011,6.97,27.88,109659,Petrol,Individual,Manual,0
innova,2005,0.35,3.1,243247,Petrol,Individual,Manual,0
wagon r,2007,0.54,3.33,86976,Petrol,Dealer,Manual,0
fortuner,2005,0.59,5.59,316799,Petrol,Dealer,Manual,0
ertiga,2009,1.03,5.06,161455,Petrol,Individual,Manual,0
xuv500,2007,6.18,39.56,171895,Petrol,Dealer,Manual,0
i10,2011,0.51,2.05,122381,Petrol,Individual,Manual,0
verna,2009,0.2,0.74,173849,Petrol,Dealer,Manual,0
amaze,2004,0.57,5.71,252906,Petrol,Dealer,Manual,0
innova,2006,0.27,2.08,229300,Petrol,Individual,Manual,0
city,2011,0.86,4.02,145715,Diesel,Dealer,Manual,0
xuv500,2014,2.99,10.82,125475,Petrol,Individual,Manual,0
duster,2016,3.61,10.17,125361,Petrol,Individual,Automatic,0
duster,2004,0.33,3.36,329368,Petrol,Dealer,Manual,0
creta,2012,1.55,6.47,103413,Diesel,Individual,Manual,0
innova,2011,1.44,5.93,83424,Diesel,Individual,Manual,0
innova,2012,2.01,8.19,88078,Diesel,Dealer,Manual,0
i10,2007,0.35,2.76,229479,Petrol,Individual,Manual,0
city,2004,0.79,7.28,168569,Petrol,Dealer,Manual,0
i20,2006,3.43,29.54,199580,Petrol,Dealer,Manual,0
city,2014,1.92,5.6,135710,Diesel,Dealer,Manual,0
wagon r,2017,6.62,18.34,46341,Petrol,Dealer,Manual,0
ritz,2014,1.56,4.87,106225,Petrol,Individual,Manual,0
baleno,2009,0.8,3.83,107323,Petrol,Individual,Manual,0
wagon r,2014,2.77,8.37,174359,Petrol,Dealer,Manual,0
duster,2015,3.14,8.89,45199,Petrol,Individual,Manual,0
kwid,2010,3.46,15.57,111501,CNG,Dealer,Manual,0
xuv500,2017,1.19,2.56,119537,Diesel,Dealer,Manual,0
duster,2005,0.73,5.79,247032,Petrol,Individual,Manual,0
amaze,2016,2.61,6.96,122484,Petrol,Dealer,Manual,0
kwid,2003,1.21,11.58,216917,Petrol,Dealer,Manual,0
duster,2006,0.2,0.93,106784,Petrol,Individual,Manual,0
baleno,2004,4.58,39.69,313994,Petrol,Dealer,Manual,0
baleno,2010,1.07,5.36,104258,Petrol,Dealer,Manual,0
i20,2006,0.38,3.06,250990,CNG,Dealer,Manual,0
fortuner,2004,1.64,16.72,261562,Petrol,Dealer,Automatic,0
swift,2016,3.5,10.93,84792,Petrol,Individual,Manual,0
ciaz,2008,3.61,23.54,145342,Petrol,Dealer,Manual,0
creta,2008,0.52,3.61,199208,Petrol,Individual,Manual,0
verna,2012,1.67,6.64,157665,Petrol,Dealer,Manual,0
corolla altis,2006,0.88,6.97,178177,Petrol,Dealer,Automatic,0
i10,2008,5.45,30.07,148187,Petrol,Dealer,Manual,0
swift,2015,0.35,1.19,66481,Petrol,Dealer,Manual,0
xuv500,2017,1.25,3.34,131566,Diesel,Individual,Manual,0
xuv500,2004,0.26,2.19,256741,Petrol,Individual,Manual,0
xuv500,2012,0.75,2.94,184093,Petrol,Dealer,Manual,0
ritz,2014,1.46,5.58,54310,Petrol,Dealer,Manual,0
corolla altis,2004,0.51,4.1,105523,Petrol,Dealer,Manual,0
duster,2012,1.2,4.37,176517,Petrol,Dealer,Manual,0
city,2016,5.08,14.54,68167,Petrol,Individual,Automatic,0
ciaz,2006,2.65,20.55,305202,Petrol,Dealer,Manual,0
ertiga,2016,0.49,1.15,144888,Petrol,Dealer,Manual,0
swift,2017,1.0,2.36,95809,Petrol,Dealer,Manual,0
baleno,2018,4.05,8.94,52849,Diesel,Dealer,Automatic,0
amaze,2017,1.76,3.93,110656,Petrol,Dealer,Manual,0
creta,2010,0.53,2.8,179662,Petrol,Dealer,Manual,0
kwid,2016,1.16,3.22,77279,Petrol,Dealer,Manual,0
wagon r,2009,0.6,3.52,256276,Petrol,Dealer,Manual,0
ciaz,2014,4.83,14.76,107328,Diesel,Individual,Manual,3
brio,2011,0.39,1.7,124120,Petrol,Dealer,Manual,0
brio,2016,3.8,9.86,115286,Petrol,Individual,Manual,0
creta,2010,1.24,6.64,175473,Petrol,Dealer,Manual,0
innova,2007,0.44,3.24,192686,Petrol,Individual,Automatic,0
sx4,2018,2.1,4.68,51529,Petrol,Dealer,Manual,0
verna,2015,1.01,2.82,101692,Diesel,Individual,Manual,0
ciaz,2004,0.86,7.69,106117,Petrol,Individual,Manual,0
baleno,2017,0.43,1.24,113979,Petrol,Dealer,Manual,0
ciaz,2007,0.2,0.64,189561,CNG,Dealer,Manual,0
duster,2010,1.41,8.01,143575,Petrol,Dealer,Manual,0
kwid,2012,0.62,2.22,132523,Petrol,Dealer,Manual,0
corolla altis,2011,0.22,1.15,218588,Petrol,Dealer,Manual,0
xuv500,2014,1.4,4.39,175004,Diesel,Dealer,Manual,0
